Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario1,right,20,60,100,0,-90,80,0,40,0.8,False,0.928,0
scenario2,left,80,20,0,0,0,60,0,20,0.1,False,1.111,0
scenario3,right,0,80,0,20,60,100,80,0,0.8,False,0.871,0
scenario4,right,0,20,0,80,90,20,40,60,0.2,False,0.76,0
scenario5,left,80,40,80,100,-60,0,80,80,1.0,False,1.134,0
scenario6,left,40,0,80,100,-90,80,0,80,0.2,False,1.047,0
scenario7,right,100,80,60,40,0,80,60,40,0.4,False,0.893,0
scenario8,left,20,100,20,0,30,40,80,60,0.4,False,0.981,0
scenario9,right,40,80,0,0,30,60,20,40,0.2,False,0.794,0
scenario10,right,60,0,100,0,90,80,80,40,0.4,False,0.766,0
scenario11,right,80,60,80,60,-90,0,40,60,1.0,False,0.826,0
scenario12,left,0,100,100,40,60,80,100,60,0.4,False,1.079,0
scenario13,right,100,40,0,60,-30,20,80,0,0.6,False,0.804,0
scenario14,left,20,40,20,100,-60,60,60,60,0.1,False,1.137,0
scenario15,left,60,60,80,40,-60,60,80,40,1.0,False,1.093,0
scenario16,right,40,100,60,20,-60,0,20,20,0.2,False,0.869,0
scenario17,left,0,60,80,20,-30,40,0,20,0.6,False,1.046,0
scenario18,right,80,80,40,20,60,80,80,100,1.0,False,0.835,0
scenario19,left,60,100,80,60,0,60,60,0,0.6,False,1.089,0
scenario20,right,0,20,0,20,0,20,0,40,0.8,False,0.888,0
scenario21,left,0,0,80,20,30,0,40,80,0.1,False,1.083,0
scenario22,left,20,80,60,20,60,40,40,80,0.4,False,1.149,0
scenario23,right,0,0,60,60,0,60,40,0,0.2,False,0.827,0
scenario24,left,100,40,100,40,0,100,20,80,0.1,False,1.153,0
scenario25,left,80,40,20,100,30,0,80,40,1.0,False,1.124,0
scenario26,left,100,40,80,40,-60,40,20,80,0.8,False,1.097,0
scenario27,right,100,20,80,20,90,20,60,100,0.2,False,0.923,0
