Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario1,left,80,40,80,100,0,60,60,0,0.2,False,1.138,0
scenario2,right,80,40,0,20,-90,100,20,40,1.0,False,0.901,0
scenario3,right,100,20,60,100,0,0,60,80,0.6,False,0.919,0
scenario4,left,40,40,40,40,-60,80,80,20,0.6,False,1.044,0
scenario5,left,20,80,40,40,60,80,40,100,0.1,False,1.204,0
scenario6,right,40,80,60,40,30,0,0,80,0.4,False,0.828,0
scenario7,right,60,0,20,60,0,20,100,100,1.0,False,0.947,0
scenario8,right,0,20,40,80,-60,40,0,20,0.2,False,0.839,0
scenario9,left,40,60,80,80,30,60,40,80,1.0,False,1.124,0
scenario10,right,100,0,100,20,30,40,80,60,0.1,False,0.78,0
scenario11,left,20,100,40,60,-30,80,100,80,0.1,False,2.959,0
scenario12,left,0,60,60,80,-90,100,0,20,0.6,False,2.994,0
scenario13,left,60,0,80,100,-60,0,60,80,1.0,False,0.993,0
scenario14,left,100,100,20,40,60,80,100,0,0.6,False,1.12,0
scenario15,right,0,0,20,80,-90,0,0,20,0.1,False,0.807,0
scenario16,left,60,80,40,0,-60,40,60,100,1.0,False,1.072,0
scenario17,left,80,100,60,80,-30,100,60,100,0.1,False,1.076,0
scenario18,right,0,100,0,60,0,0,40,40,0.2,False,0.994,0
scenario19,right,40,80,0,0,60,40,40,20,1.0,False,0.824,0
scenario20,left,40,20,40,20,30,60,100,40,0.6,False,0.975,0
scenario21,right,0,80,100,60,-90,20,80,80,0.6,False,0.983,0
scenario22,right,100,40,60,0,-60,100,80,60,0.8,False,0.866,0
scenario23,left,20,60,0,100,60,40,40,0,0.8,False,1.217,0
scenario24,right,20,80,0,80,-30,60,20,40,0.6,False,0.958,0
scenario25,right,40,100,100,0,0,60,20,80,0.4,False,0.886,0
scenario26,right,0,40,20,0,-30,80,60,100,0.6,False,0.874,0
scenario27,right,20,0,80,40,30,40,100,20,1.0,False,0.877,0
scenario28,left,0,20,100,40,60,0,20,100,0.1,False,1.095,0
scenario29,left,100,60,0,100,-90,40,80,40,0.1,False,1.143,0
scenario30,left,20,0,0,100,60,0,40,0,0.2,False,1.088,0
scenario31,right,60,0,100,0,30,40,60,100,0.8,False,0.927,0
scenario32,left,100,100,100,80,60,0,20,40,0.4,False,1.192,0
scenario33,left,80,40,80,20,-30,60,0,20,1.0,False,1.074,0
scenario34,right,60,0,80,0,-30,100,0,60,0.1,False,0.945,0
scenario35,right,60,80,80,0,-60,100,100,0,0.6,False,0.842,0
scenario36,right,0,60,80,80,0,0,100,20,0.8,False,0.839,0
scenario37,left,80,80,60,100,-30,20,20,0,0.4,False,1.091,0
scenario38,left,60,20,0,40,30,40,40,100,0.2,False,1.129,0
scenario39,right,40,40,100,40,30,80,80,40,1.0,False,0.889,0
scenario40,left,80,40,80,20,90,100,60,20,0.4,False,1.125,0
scenario41,right,60,40,40,100,-30,20,100,100,0.2,False,4.808,0
scenario42,left,80,100,100,20,-90,20,40,60,0.6,False,1.032,0
scenario43,right,100,100,100,100,-30,100,0,100,0.2,False,0.979,0
scenario44,left,100,60,20,40,-30,100,80,0,0.2,False,1.087,0
